trackid,name_track,artist_c,year,month,day,spotify_CHA,stream_int,data_lancamento,name_artist_,qtd_music_solo,quartile_stream,total_playlist,categoria,track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
8987545,Lovers Rock,1,2014,6,5,13,466231982,05/06/2014,TV Girl,1,3,6378,baixo,8987545,3,1,36,1,37
5324238,Photograph,1,2014,6,20,3,2236667932,20/06/2014,Ed Sheeran,9,4,21459,alto,5324238,228,105,2453,0,84
4635311,After Dark,1,2014,8,8,14,646886885,08/08/2014,MrKitty,1,3,1780,baixo,4635311,1,9,3,0,0
1776310,Im Not The Only One,1,2014,1,1,3,1606986953,01/01/2014,Sam Smith,1,4,19587,alto,1776310,136,24,1959,0,30
3921634,Blank Space,1,2014,1,1,53,1355959075,01/01/2014,Taylor Swift,34,4,11998,alto,3921634,154,123,410,2,81
2031309,Shake It Off,1,2014,1,1,13,1113838873,01/01/2014,Taylor Swift,34,4,23041,alto,2031309,328,70,1378,9,20
3181974,Thinking Out Loud,1,2014,1,1,0,2280566092,01/01/2014,Ed Sheeran,9,4,37290,alto,3181974,363,129,3895,0,28
4796316,Style,1,2014,1,1,42,786181836,01/01/2014,Taylor Swift,34,4,8075,alto,4796316,94,111,151,4,82
2061482,Only Love Can Hurt Like This,1,2014,1,1,0,588955257,01/01/2014,Paloma Faith,1,3,5603,baixo,2061482,90,22,365,0,114
7456153,The Nights,1,2014,1,1,8,1456081449,01/01/2014,Avicii,2,4,18728,alto,7456153,92,122,1282,0,55
6950436,Alien Blues,1,2015,7,24,0,370068639,24/07/2015,Vundabar,1,3,1961,baixo,6950436,3,0,28,0,1
1904373,Cool for the Summer,1,2015,1,1,0,677389855,01/01/2015,Demi Lovato,1,4,9975,alto,1904373,155,5,577,0,6
4765423,Space Song,1,2015,1,1,4,789753877,01/01/2015,Beach House,1,4,18256,alto,4765423,69,76,335,0,
7792660,Wait a Minute,1,2015,1,11,0,924193303,11/01/2015,Willow,1,4,12314,alto,7792660,79,80,250,3,10
1630789,The Night We Met,1,2015,2,2,35,1410088830,02/02/2015,Lord Huron,1,4,19524,alto,1630789,70,82,939,1,162
2634614,Daddy Issues,1,2015,10,30,4,1127468248,30/10/2015,The Neighbourhood,3,4,10197,alto,2634614,42,70,384,0,3
2188178,Love Yourself,1,2015,11,9,5,2123309722,09/11/2015,Justin Bieber,3,4,25449,alto,2188178,289,87,2430,0,36
1168222,Atlantis,1,2015,4,22,6,571386359,22/04/2015,Seafret,1,3,3222,baixo,1168222,43,53,134,1,32
7435337,Freaks,1,2015,5,10,3,824420218,10/05/2015,Surf Curse,1,4,3150,alto,7435337,23,21,121,0,13
6380084,The Hills,1,2015,5,27,4,1947371785,27/05/2015,The Weeknd,21,4,27858,alto,6380084,122,94,1992,0,18
7159285,Makeba,1,2015,6,22,53,165484133,22/06/2015,Jain,1,2,8913,baixo,7159285,150,148,2703,22,1451
3872585,Pope Is a Rockstar,1,2016,4,20,0,156658366,20/04/2016,SALES,1,2,2020,baixo,3872585,4,2,50,0,0
5831523,Closer,2,2016,5,31,0,2591224264,31/05/2016,The Chainsmokers Halsey,1,4,30526,alto,5831523,315,159,2179,0,44
3210546,Selfish,1,2016,6,23,0,380319238,23/06/2016,PnB Rock,1,3,2483,baixo,3210546,15,0,0,0,0
1992045,Notion,1,2016,8,5,0,421135627,05/08/2016,The Rare Occasions,1,3,2480,baixo,1992045,22,13,65,0,6
8897005,Pink  White,1,2016,8,20,30,806397070,20/08/2016,Frank Ocean,2,4,21952,alto,8897005,112,68,266,1,39
7587856,Say You Wont Let Go,1,2016,9,9,16,2420461338,09/09/2016,James Arthur,2,4,17462,alto,7587856,231,37,1509,0,13
4367298,Starboy,2,2016,9,21,79,2565529693,21/09/2016,The Weeknd Daft Punk,1,4,32262,alto,4367298,281,137,2445,1,140
4096612,Theres Nothing Holdin Me Back,1,2016,9,23,0,1714490998,23/09/2016,Shawn Mendes,3,4,13981,alto,4096612,229,57,1370,2,71
